"","ID","Type","Recovery","SacTime","Sodium","Potassium","tCO2","CK","Glucose","CA","BUN","AST","TBIL","ALB","TP","GLOB","WBC","AbsLYM","AbsMON","AbsNEU","LYp","MOp","NEp","RBC","HGB","HCT","MCV","MCH","MCHC","RDWc","PLT","PCT","MPV","PDWc","log_CK","log_AST"
"206","m200033","EXC","hit2rec3","min30",149,4.7,19,202,241,9.9,25,66,0.4,3.7,4.9,1.2,4.08,3.31,0.18,0.59,81.2,4.4,14.4,9.15,13.2,37.61,41,14.4,35.1,16.6,578,0.34,5.9,30.2,530.826769740121,418.965474202642
"207","m190148","EXC","hit2rec3","hr3",149,4.5,22,697,233,10,31,165,0.4,4.3,5.2,0.9,15.14,11.82,1.19,2.13,78.1,7.8,14,8.93,13,36.96,41,14.5,35.1,16.6,218,0.14,6.3,34.6,654.678541076052,510.594547390058
"208","m190160","EXC","hit2rec3","hr3",149,5.1,20,1293,228,9.8,25,268,0.4,4.3,5.1,0.9,3.52,3.1,0.14,0.28,88.2,3.9,7.9,8.03,12.2,32.62,41,15.1,37.3,16.9,30,0.02,5.6,32.2,716.472037877186,559.098698051086
"209","m190171","EXC","hit2rec3","hr3",151,4.9,19,166,181,10,30,88,0.4,4.1,5.1,1.1,4.93,4.11,0.61,0.22,83.3,12.3,4.4,9.62,14.4,40.3,42,15,35.7,17.2,690,0.38,5.5,29.1,511.198778835654,447.733681447821
"210","m190194","EXC","hit2rec3","hr3",148,5,22,251,224,9.3,32,79,0.3,3.8,5.3,1.5,7.38,6.69,0.19,0.5,90.7,2.6,6.8,9.42,14.1,38.96,41,14.9,36.1,17.5,538,0.31,5.8,30.7,552.545293913178,436.944785246702
"211","m190195","EXC","hit2rec3","hr3",147,4.7,13,1005,225,10,25,212,0.4,4.1,5,0.9,9.51,7.27,0.32,1.92,76.4,3.4,20.2,9.32,13.9,38.89,42,14.9,35.7,16.6,56,0.03,5.8,32.2,691.274282049318,535.658627467201
"212","m190238","EXC","hit2rec3","hr3",151,5.2,17,574,222,9.7,28,139,0.3,3.8,5.2,1.4,7.35,5.67,0.89,0.78,77.2,12.2,10.7,7.45,11.1,30.84,41,14.9,35.9,16.3,125,0.1,7.7,39.6,635.262939631957,493.447393313069
"213","m200034","EXC","hit2rec3","hr3",152,5,26,283,189,9.6,31,87,0.4,4,5.2,1.2,9.11,7.79,0.53,0.8,85.4,5.8,8.7,7.96,14,32.93,41,17.6,42.5,16.9,344,0.21,6,30.2,564.544689764324,446.590811865458
"214","m190041","EXC","hit2rec3","d1",152,5.3,25,1001,181,9.6,21,242,0.4,4.2,5.2,1,14.38,11.17,0.08,3.13,77.7,0.6,21.8,9.15,13.2,37.62,41,14.5,35.2,16.3,75,0.04,5.6,32.2,690.875477931522,548.893772615669
"215","m190042","EXC","hit2rec3","d1",148,4.7,19,206,207,9.4,22,65,0.5,4,4.8,0.8,12.24,10.84,0.38,1.01,88.6,3.1,8.3,9.71,13.8,40.14,41,14.2,34.5,16.9,638,0.4,6.2,29.1,532.787616878958,417.438726989564
